类型-季节编号, 地块类型, 种植季次, 作物编号, 作物名称, 亩产量/斤, 种植成本/(元/亩), 售价区间/(元/斤), 售价中值/(元/斤)
A            , 平旱地  , 单季    ,        1, 黄豆    ,       400,              400, 2.50-4.00       ,             3.25
A            , 平旱地  , 单季    ,        2, 黑豆    ,       500,              400, 6.50-8.50       ,              7.5
A            , 平旱地  , 单季    ,        3, 红豆    ,       400,              350, 7.50-9.00       ,             8.25
A            , 平旱地  , 单季    ,        4, 绿豆    ,       350,              350, 6.00-8.00       ,              7.0
A            , 平旱地  , 单季    ,        5, 爬豆    ,       415,              350, 6.00-7.50       ,             6.75
A            , 平旱地  , 单季    ,        6, 小麦    ,       800,              450, 3.00-4.00       ,              3.5
A            , 平旱地  , 单季    ,        7, 玉米    ,      1000,              500, 2.50-3.50       ,              3.0
A            , 平旱地  , 单季    ,        8, 谷子    ,       400,              360, 6.00-7.50       ,             6.75
A            , 平旱地  , 单季    ,        9, 高粱    ,       630,              400, 5.50-6.50       ,              6.0
A            , 平旱地  , 单季    ,       10, 黍子    ,       525,              360, 6.50-8.50       ,              7.5
A            , 平旱地  , 单季    ,       11, 荞麦    ,       110,              350, 30.00-50.00     ,             40.0
A            , 平旱地  , 单季    ,       12, 南瓜    ,      3000,             1000, 1.00-2.00       ,              1.5
A            , 平旱地  , 单季    ,       13, 红薯    ,      2200,             2000, 2.50-4.00       ,             3.25
A            , 平旱地  , 单季    ,       14, 莜麦    ,       420,              400, 5.00-6.00       ,              5.5
A            , 平旱地  , 单季    ,       15, 大麦    ,       525,              350, 3.00-4.00       ,              3.5
B            , 梯田    , 单季    ,        1, 黄豆    ,       380,              400, 2.50-4.00       ,             3.25
B            , 梯田    , 单季    ,        2, 黑豆    ,       475,              400, 6.50-8.50       ,              7.5
B            , 梯田    , 单季    ,        3, 红豆    ,       380,              350, 7.50-9.00       ,             8.25
B            , 梯田    , 单季    ,        4, 绿豆    ,       330,              350, 6.00-8.00       ,              7.0
