年份,方案,作物类别,面积/亩
2024,情形1,豆类,396.61
2024,情形1,粮食(其他),714.01
2024,情形1,水稻,0.0
2024,情形1,蔬菜,121.53
2024,情形1,食用菌,9.6
2024,情形1,其他/未分类,0.0
2024,情形2,豆类,124.87
2024,情形2,粮食(其他),967.12
2024,情形2,水稻,0.0
2024,情形2,蔬菜,232.4
2024,情形2,食用菌,9.6
2024,情形2,其他/未分类,0.0
2024,问题2,豆类,376.61
2024,问题2,粮食(其他),734.01
2024,问题2,水稻,0.0
2024,问题2,蔬菜,121.53
2024,问题2,食用菌,9.6
2024,问题2,其他/未分类,0.0
2025,情形1,豆类,443.21
2025,情形1,粮食(其他),687.39
2025,情形1,水稻,0.0
2025,情形1,蔬菜,140.09
2025,情形1,食用菌,9.5
2025,情形1,其他/未分类,0.0
2025,情形2,豆类,659.01
2025,情形2,粮食(其他),521.9
2025,情形2,水稻,0.0
2025,情形2,蔬菜,141.82
2025,情形2,食用菌,9.57
2025,情形2,其他/未分类,0.0
2025,问题2,豆类,471.38
2025,问题2,粮食(其他),670.95
2025,问题2,水稻,0.0
2025,问题2,蔬菜,169.11
2025,问题2,食用菌,9.5
2025,问题2,其他/未分类,0.0
2026,情形1,豆类,435.15
2026,情形1,粮食(其他),674.44
2026,情形1,水稻,0.0
2026,情形1,蔬菜,155.29
2026,情形1,食用菌,9.41
2026,情形1,其他/未分类,0.0
2026,情形2,豆类,379.36
2026,情形2,粮食(其他),736.29
2026,情形2,水稻,0.0
2026,情形2,蔬菜,205.5
2026,情形2,食用菌,9.58
2026,情形2,其他/未分类,0.0
2026,问题2,豆类,408.03
2026,问题2,粮食(其他),696.13
2026,问题2,水稻,0.0
2026,问题2,蔬菜,128.1
2026,问题2,食用菌,9.49
2026,问题2,其他/未分类,0.0
2027,情形1,豆类,363.45
2027,情形1,粮食(其他),727.75
2027,情形1,水稻,20.0
2027,情形1,蔬菜,140.13
2027,情形1,食用菌,9.6
2027,情形1,其他/未分类,0.0
2027,情形2,豆类,217.12
2027,情形2,粮食(其他),874.8
2027,情形2,水稻,0.0
2027,情形2,蔬菜,232.4
2027,情形2,食用菌,9.6
2027,情形2,其他/未分类,0.0
2027,问题2,豆类,332.45
2027,问题2,粮食(其他),781.82
2027,问题2,水稻,42.0
2027,问题2,蔬菜,106.18
2027,问题2,食用菌,9.6
2027,问题2,其他/未分类,0.0
2028,情形1,豆类,391.79
2028,情形1,粮食(其他),703.79
2028,情形1,水稻,22.0
2028,情形1,蔬菜,137.89
2028,情形1,食用菌,9.4
2028,情形1,其他/未分类,0.0
2028,情形2,豆类,976.51
2028,情形2,粮食(其他),234.49
2028,情形2,水稻,0.0
2028,情形2,蔬菜,111.77
2028,情形2,食用菌,9.58
2028,情形2,其他/未分类,0.0
2028,问题2,豆类,437.89
2028,问题2,粮食(其他),681.05
2028,问题2,水稻,0.0
2028,问题2,蔬菜,149.46
2028,问题2,食用菌,9.59
2028,问题2,其他/未分类,0.0
2029,情形1,豆类,375.49
2029,情形1,粮食(其他),714.85
2029,情形1,水稻,20.0
2029,情形1,蔬菜,143.93
2029,情形1,食用菌,9.6
2029,情形1,其他/未分类,0.0
2029,情形2,豆类,226.82
2029,情形2,粮食(其他),860.66
2029,情形2,水稻,0.0
2029,情形2,蔬菜,232.4
2029,情形2,食用菌,9.6
2029,情形2,其他/未分类,0.0
2029,问题2,豆类,406.99
2029,问题2,粮食(其他),676.18
2029,问题2,水稻,20.0
2029,问题2,蔬菜,140.24
2029,问题2,食用菌,9.45
2029,问题2,其他/未分类,0.0
2030,情形1,豆类,397.58
2030,情形1,粮食(其他),712.34
2030,情形1,水稻,0.0
2030,情形1,蔬菜,117.21
2030,情形1,食用菌,9.6
2030,情形1,其他/未分类,0.0
2030,情形2,豆类,224.66
2030,情形2,粮食(其他),856.33
2030,情形2,水稻,0.0
2030,情形2,蔬菜,232.4
2030,情形2,食用菌,9.6
2030,情形2,其他/未分类,0.0
2030,问题2,豆类,279.41
2030,问题2,粮食(其他),837.85
2030,问题2,水稻,0.0
2030,问题2,蔬菜,131.52
2030,问题2,食用菌,9.58
2030,问题2,其他/未分类,0.0
