作物编号, 作物名称, 作物类型, 可种植地块-季节编号
1, 黄豆, 粮食（豆类）, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
2, 黑豆, 粮食（豆类）, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
3, 红豆, 粮食（豆类）, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
4, 绿豆, 粮食（豆类）, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
5, 爬豆, 粮食（豆类）, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
6, 小麦, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
7, 玉米, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
8, 谷子, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
9, 高粱, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
10, 黍子, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
11, 荞麦, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
12, 南瓜, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
13, 红薯, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
14, 莜麦, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
15, 大麦, 粮食, A1; A2; A3; A4; A5; A6; B1; B2; B3; B4; B5; B6; B7; B8; B9; B10; B11; B12; B13; B14; C1; C2; C3; C4; C5; C6
16, 水稻, 粮食, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1
17, 豇豆, 蔬菜（豆类）, D1-1; D2-1; D3-1; D4-1; D5-1; D6-1; D7-1; D8-1; E1-1; E2-1; E3-1; E4-1; E5-1; E6-1; E7-1; E8-1; E9-1; E10-1; E11-1; E12-1; E13-1; E14-1; E15-1; E16-1; F1-1; F2-1; F3-1; F4-1; F1-2; F2-2; F3-2; F4-2
