地块编号, 名称, 面积/亩, 可种植作物编号
A1, 平旱地·单季（全年一季）, 80.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
A2, 平旱地·单季（全年一季）, 55.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
A3, 平旱地·单季（全年一季）, 35.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
A4, 平旱地·单季（全年一季）, 72.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
A5, 平旱地·单季（全年一季）, 68.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
A6, 平旱地·单季（全年一季）, 55.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B1, 梯田·单季（全年一季）, 60.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B2, 梯田·单季（全年一季）, 46.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B3, 梯田·单季（全年一季）, 40.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B4, 梯田·单季（全年一季）, 28.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B5, 梯田·单季（全年一季）, 25.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B6, 梯田·单季（全年一季）, 86.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B7, 梯田·单季（全年一季）, 55.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B8, 梯田·单季（全年一季）, 44.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B9, 梯田·单季（全年一季）, 50.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B10, 梯田·单季（全年一季）, 25.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B11, 梯田·单季（全年一季）, 60.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B12, 梯田·单季（全年一季）, 45.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B13, 梯田·单季（全年一季）, 35.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
B14, 梯田·单季（全年一季）, 20.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
C1, 山坡地·单季（全年一季）, 15.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
C2, 山坡地·单季（全年一季）, 13.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
C3, 山坡地·单季（全年一季）, 15.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
C4, 山坡地·单季（全年一季）, 18.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
C5, 山坡地·单季（全年一季）, 27.0, 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15
