作物编号, 作物名称, 作物类型    , 2023种植面积/亩, 2023产量/斤(=销售量), 预期销售量年变化率, 亩产量年变化率, 种植成本年增长率, 销售价格年变化率
       1, 黄豆    , 粮食（豆类）,           147.0,              57000.0,                ±5%,           ±10%,              +5%,               0%
       2, 黑豆    , 粮食（豆类）,            46.0,              21850.0,                ±5%,           ±10%,              +5%,               0%
       3, 红豆    , 粮食（豆类）,            60.0,              22400.0,                ±5%,           ±10%,              +5%,               0%
       4, 绿豆    , 粮食（豆类）,            96.0,              33040.0,                ±5%,           ±10%,              +5%,               0%
       5, 爬豆    , 粮食（豆类）,            25.0,               9875.0,                ±5%,           ±10%,              +5%,               0%
       6, 小麦    , 粮食        ,           222.0,             170840.0,           +5%~+10%,           ±10%,              +5%,               0%
       7, 玉米    , 粮食        ,           135.0,             132750.0,           +5%~+10%,           ±10%,              +5%,               0%
       8, 谷子    , 粮食        ,           185.0,              71400.0,                ±5%,           ±10%,              +5%,               0%
       9, 高粱    , 粮食        ,            50.0,              30000.0,                ±5%,           ±10%,              +5%,               0%
      10, 黍子    , 粮食        ,            25.0,              12500.0,                ±5%,           ±10%,              +5%,               0%
      11, 荞麦    , 粮食        ,            15.0,               1500.0,                ±5%,           ±10%,              +5%,               0%
      12, 南瓜    , 粮食        ,            13.0,              35100.0,                ±5%,           ±10%,              +5%,               0%
      13, 红薯    , 粮食        ,            18.0,              36000.0,                ±5%,           ±10%,              +5%,               0%
      14, 莜麦    , 粮食        ,            35.0,              14000.0,                ±5%,           ±10%,              +5%,               0%
      15, 大麦    , 粮食        ,            20.0,              10000.0,                ±5%,           ±10%,              +5%,               0%
      16, 水稻    , 粮食        ,            42.0,              21000.0,                ±5%,           ±10%,              +5%,               0%
      17, 豇豆    , 蔬菜（豆类）,            11.8,              36480.0,                ±5%,           ±10%,              +5%,              +5%
      18, 刀豆    , 蔬菜（豆类）,            13.2,              26880.0,                ±5%,           ±10%,              +5%,              +5%
      19, 芸豆    , 蔬菜（豆类）,             1.8,               6480.0,                ±5%,           ±10%,              +5%,              +5%
      20, 土豆    , 蔬菜        ,            15.0,              30000.0,                ±5%,           ±10%,              +5%,              +5%
      21, 西红柿  , 蔬菜        ,            14.9,              36210.0,                ±5%,           ±10%,              +5%,              +5%
      22, 茄子    , 蔬菜        ,             6.9,              45360.0,                ±5%,           ±10%,              +5%,              +5%
      23, 菠菜    , 蔬菜        ,             0.3,                900.0,                ±5%,           ±10%,              +5%,              +5%
      24, 青椒    , 蔬菜        ,             0.9,               2610.0,                ±5%,           ±10%,              +5%,              +5%
      25, 菜花    , 蔬菜        ,             0.9,               3600.0,                ±5%,           ±10%,              +5%,              +5%
      26, 包菜    , 蔬菜        ,             0.9,               4050.0,                ±5%,           ±10%,              +5%,              +5%
      27, 油麦菜  , 蔬菜        ,             0.9,               4500.0,                ±5%,           ±10%,              +5%,              +5%
      28, 小青菜  , 蔬菜        ,            10.9,              35480.0,                ±5%,           ±10%,              +5%,              +5%
      29, 黄瓜    , 蔬菜        ,             0.9,              13050.0,                ±5%,           ±10%,              +5%,              +5%
      30, 生菜    , 蔬菜        ,             0.6,               2850.0,                ±5%,           ±10%,              +5%,              +5%
      31, 辣椒    , 蔬菜        ,             0.6,               1200.0,                ±5%,           ±10%,              +5%,              +5%
      32, 空心菜  , 蔬菜        ,             0.3,               3600.0,                ±5%,           ±10%,              +5%,              +5%
      33, 黄心菜  , 蔬菜        ,             0.3,               1800.0,                ±5%,           ±10%,              +5%,              +5%
      34, 芹菜    , 蔬菜        ,             0.3,               1800.0,                ±5%,           ±10%,              +5%,              +5%
      35, 大白菜  , 蔬菜        ,            30.0,             150000.0,                ±5%,           ±10%,              +5%,              +5%
      36, 白萝卜  , 蔬菜        ,            25.0,             100000.0,                ±5%,           ±10%,              +5%,              +5%
      37, 红萝卜  , 蔬菜        ,            12.0,              36000.0,                ±5%,           ±10%,              +5%,              +5%
      38, 榆黄菇  , 食用菌      ,             1.8,               9000.0,                ±5%,           ±10%,              +5%,          -1%~-5%
      39, 香菇    , 食用菌      ,             1.8,               7200.0,                ±5%,           ±10%,              +5%,          -1%~-5%
      40, 白灵菇  , 食用菌      ,             1.8,              18000.0,                ±5%,           ±10%,              +5%,          -1%~-5%
      41, 羊肚菌  , 食用菌      ,             4.2,               4200.0,                ±5%,           ±10%,              +5%,              -5%
